Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
13,44,46,15,31,203.5,21,43,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,495.75,32,42,1,3,4,4,4,6,-1,-1,-1,-1
15,10,37,16,32,323.5,24,34,1,3,4,4,4,3,6,-1,-1,-1
4,6,8,-1,-1,56.35,43,47,0,2,4,4,2,-2,6,-1,-1,-1
22,41,50,21,27,263.5,13,51,1,2,-2,2,4,3,4,3,6,-1
5,7,10,-1,-1,88.4,46,37,0,3,3,3,2,-2,2,-2,6,-1
46,27,11,1,21,577.7,25,39,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,361.1,12,50,1,4,4,4,4,6,-1,-1,-1,-1
43,35,0,37,4,579.5,24,40,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,359.1,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
15,40,36,48,5,321.5,-1,-1,0,2,3,7,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,56.85,24,4,1,9,-2,6,-1,-1,-1,-1,-1,-1
33,18,23,20,21,225.75,12,16,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,471.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
39,12,29,33,6,264.65,47,48,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,113.2,16,14,0,2,3,4,4,4,6,-1,-1,-1
18,20,25,4,40,595,-1,-1,0,2,2,9,-2,7,-1,-1,-1,-1
6,9,9,-1,-1,342.9,27,19,1,2,3,4,9,6,-1,-1,-1,-1
1,32,47,27,3,243.65,31,40,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,133.7,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
30,19,34,14,16,242.25,4,6,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,454.5,25,37,1,3,4,4,4,6,-1,-1,-1,-1
11,4,28,5,17,257.15,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,119.7,50,10,1,3,4,3,4,4,6,-1,-1,-1
4,18,1,29,35,255.25,-1,-1,1,2,-2,2,4,4,3,7,-1,-1
5,7,9,-1,-1,440.5,33,37,0,2,3,3,4,2,-2,6,-1,-1
10,1,30,34,20,243.15,6,46,1,3,4,4,2,6,-1,-1,-1,-1
4,6,8,-1,-1,133.2,-1,-1,0,2,4,4,3,7,-1,-1,-1,-1
35,4,9,5,16,32.8,33,32,1,2,9,-2,6,-1,-1,-1,-1,-1
7,7,7,-1,-1,209.5,-1,-1,0,2,2,3,7,-1,-1,-1,-1,-1
44,21,35,37,50,204.25,17,48,0,2,4,4,2,-2,6,-1,-1,-1
4,6,8,-1,-1,491,26,29,1,3,4,4,4,3,6,-1,-1,-1
12,31,9,5,48,236.15,8,4,1,3,4,3,4,3,4,3,6,-1
4,7,10,-1,-1,138.7,14,19,0,2,2,-2,2,-2,2,-2,6,-1
5,20,50,11,47,79.4,22,41,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,201,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
37,19,12,21,30,200,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,504.5,6,18,1,3,4,4,4,6,-1,-1,-1,-1
39,27,16,17,20,55.9,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
4,7,10,-1,-1,238.5,24,47,1,3,4,3,4,3,4,6,-1,-1
12,5,17,21,26,254.65,1,49,0,2,2,3,4,9,-2,6,-1,-1
4,8,10,-1,-1,118.2,-1,-1,1,3,4,2,4,2,9,7,-1,-1
4,28,44,19,6,42.9,31,34,0,3,3,3,9,6,-1,-1,-1,-1
5,7,9,-1,-1,251,26,48,1,2,-2,2,2,6,-1,-1,-1,-1
9,20,0,36,47,202,51,4,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,281,6,49,0,2,4,4,4,6,-1,-1,-1,-1
48,23,0,22,36,203.75,31,41,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,278.75,1,45,0,2,4,4,4,6,-1,-1,-1,-1
18,6,20,1,47,358.35,48,45,0,2,4,3,2,-2,6,-1,-1,-1
4,6,8,-1,-1,163.5,-1,-1,1,3,4,2,4,3,7,-1,-1,-1
22,41,17,37,39,379.85,-1,-1,1,3,4,3,4,4,3,7,-1,-1
4,7,9,-1,-1,141.5,43,46,0,2,2,-2,4,2,-2,6,-1,-1
46,4,5,23,49,349.85,9,8,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,171,45,35,0,2,2,-2,4,4,6,-1,-1,-1
7,9,51,37,43,339.5,-1,-1,0,3,3,3,2,-2,4,7,-1,-1
5,7,10,-1,-1,376.5,48,34,1,2,-2,2,4,3,4,6,-1,-1
49,38,28,5,50,291.35,36,8,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,227,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
11,27,5,38,46,326,31,37,1,3,4,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,387.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
36,42,21,17,6,349,32,49,1,3,4,3,4,2,2,6,-1,-1
4,7,11,-1,-1,363,22,38,0,2,2,-2,2,3,3,6,-1,-1
0,16,18,50,46,205.5,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
4,6,8,-1,-1,80.45,17,25,0,2,4,4,2,-2,6,-1,-1,-1
8,0,11,6,4,216,44,38,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,495.5,40,34,1,3,4,4,4,6,-1,-1,-1,-1
49,21,42,10,16,274.5,9,7,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,861.4,22,33,0,2,4,4,4,6,-1,-1,-1,-1
39,5,21,32,14,219,30,34,0,2,4,3,3,6,-1,-1,-1,-1
4,6,8,-1,-1,66.95,15,43,1,3,4,2,2,6,-1,-1,-1,-1
28,51,32,46,49,274,24,30,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,860.9,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
9,32,42,45,2,224,34,39,1,3,2,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,485.5,35,50,0,2,3,4,4,6,-1,-1,-1,-1
31,25,41,37,50,279.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,854.9,9,1,1,3,4,3,4,4,6,-1,-1,-1
31,25,50,49,2,232.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,52.75,24,45,1,3,4,2,2,6,-1,-1,-1,-1
42,51,49,31,21,409.4,-1,-1,1,3,4,4,3,4,3,7,-1,-1
4,6,9,-1,-1,207.5,43,50,0,2,4,2,-2,2,-2,6,-1,-1
33,21,43,25,28,238.5,49,19,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,44.7,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
28,7,33,35,0,399.4,-1,-1,1,3,4,3,4,2,3,7,-1,-1
4,7,9,-1,-1,216,29,30,0,2,2,-2,4,2,-2,6,-1,-1
33,48,18,31,39,267.5,32,26,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,440,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
20,33,0,9,26,331.5,28,49,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,799.9,47,42,1,2,-2,4,4,4,6,-1,-1,-1
26,0,33,40,44,318,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,387,29,42,1,3,4,3,4,4,6,-1,-1,-1
11,1,33,9,20,404.5,42,17,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,724.4,45,19,0,2,4,4,4,6,-1,-1,-1,-1
12,51,45,24,13,400.5,2,49,1,3,2,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,727.9,-1,-1,0,2,3,3,4,7,-1,-1,-1,-1
24,49,2,40,16,355.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,348.5,23,51,1,3,4,3,4,4,6,-1,-1,-1
9,47,40,24,3,427,38,2,1,3,4,4,4,3,6,-1,-1,-1
4,6,8,-1,-1,700.4,22,14,0,2,4,4,2,-2,6,-1,-1,-1
37,28,15,13,42,339.8,24,44,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,362.5,10,49,0,2,4,4,4,6,-1,-1,-1,-1
45,29,0,14,7,250.5,32,34,1,2,-2,2,2,4,6,-1,-1,-1
5,7,9,-1,-1,334,-1,-1,0,2,3,3,3,4,7,-1,-1,-1
48,44,34,17,46,639.5,20,8,1,2,-2,2,2,2,6,-1,-1,-1
5,7,9,-1,-1,360.25,25,50,0,2,3,3,3,3,6,-1,-1,-1
17,41,13,47,38,360.5,36,27,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,223,31,50,1,2,-2,4,4,4,6,-1,-1,-1
10,0,48,6,5,375,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
4,7,10,-1,-1,208,16,51,1,3,4,3,4,3,4,6,-1,-1
38,35,5,31,23,341,24,8,0,2,2,-2,4,3,6,-1,-1,-1
4,7,9,-1,-1,241.5,30,36,1,3,4,3,4,2,6,-1,-1,-1
16,28,13,7,22,398,48,24,0,2,2,-2,2,-2,2,-2,6,-1
4,7,10,-1,-1,599.75,-1,-1,1,3,4,3,4,3,4,3,7,-1
24,3,31,49,14,373.5,16,28,0,2,2,-2,2,-2,4,6,-1,-1
4,7,10,-1,-1,208.3,45,27,1,3,4,3,4,3,4,6,-1,-1
14,45,0,27,32,486.5,36,47,1,2,-2,2,2,2,6,-1,-1,-1
5,7,9,-1,-1,510.75,-1,-1,0,2,3,3,3,3,7,-1,-1,-1
7,22,46,27,26,410,-1,-1,0,2,3,3,2,3,7,-1,-1,-1
5,7,11,-1,-1,171.3,48,47,1,2,-2,2,2,9,6,-1,-1,-1
8,41,16,17,12,680.5,34,32,1,2,-2,2,4,2,6,-1,-1,-1
5,7,9,-1,-1,315.75,-1,-1,0,2,3,3,4,3,7,-1,-1,-1
0,20,4,34,3,756,-1,-1,0,2,4,2,-2,2,3,7,-1,-1
4,6,9,-1,-1,239.75,33,1,1,3,4,2,3,4,9,6,-1,-1
28,16,12,39,48,203.5,43,32,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,384.1,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
19,18,31,6,11,533.75,51,8,0,2,3,2,-2,4,4,6,-1,-1
5,8,10,-1,-1,461,38,50,1,2,-2,4,3,4,4,6,-1,-1
37,9,32,29,15,191,23,21,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,394.6,16,10,1,3,4,4,4,6,-1,-1,-1,-1
35,48,29,2,30,196.5,43,32,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,388.6,38,34,0,2,2,-2,4,4,6,-1,-1,-1
25,19,47,40,39,196.25,8,11,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,388.35,48,20,1,3,4,3,4,4,6,-1,-1,-1
17,31,16,29,46,213.25,49,7,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,370.35,1,3,1,3,4,3,4,4,6,-1,-1,-1
30,1,15,20,27,226.75,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,356.35,50,7,1,3,4,4,4,6,-1,-1,-1,-1
23,4,37,3,12,483.2,46,21,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,142.5,44,33,1,3,4,3,4,4,6,-1,-1,-1
23,42,38,50,30,493.7,48,37,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,131.5,22,5,0,2,4,4,4,6,-1,-1,-1,-1
7,4,33,20,47,486.7,30,32,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,138,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
5,25,36,32,31,203,38,35,1,3,4,2,2,9,6,-1,-1,-1
4,8,11,-1,-1,357.75,26,43,0,2,2,3,2,-2,6,-1,-1,-1
12,14,32,33,41,114.8,48,11,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,226.3,2,25,1,4,4,4,4,6,-1,-1,-1,-1
18,3,7,35,8,496.7,32,12,0,2,4,2,-2,2,-2,6,-1,-1
4,6,9,-1,-1,125,-1,-1,1,3,4,4,3,4,3,7,-1,-1
1,14,29,47,28,210.5,5,13,0,3,3,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,21,37,1,4,2,2,4,6,-1,-1,-1,-1
43,36,0,4,14,513.2,30,31,1,2,3,6,-1,-1,-1,-1,-1,-1
6,6,6,-1,-1,107.5,29,28,0,2,9,6,-1,-1,-1,-1,-1,-1
32,33,8,21,34,224.5,30,42,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,637.25,46,51,0,2,4,4,4,6,-1,-1,-1,-1
29,11,28,43,23,218.5,25,50,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,642.75,48,14,1,3,4,4,4,6,-1,-1,-1,-1
15,10,21,49,48,210,51,31,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,709.75,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
10,42,45,19,9,549.45,-1,-1,1,3,4,3,4,4,3,7,-1,-1
4,7,9,-1,-1,70.25,40,30,0,2,2,-2,4,2,-2,6,-1,-1
17,48,45,46,11,227.5,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
4,7,9,-1,-1,690.75,42,47,1,3,4,3,4,2,6,-1,-1,-1
26,36,37,21,51,514,27,38,1,3,4,2,4,2,2,6,-1,-1
4,8,12,-1,-1,609.9,-1,-1,0,2,2,3,2,3,3,7,-1,-1
23,42,36,33,10,835.5,37,20,0,2,2,2,-2,4,4,6,-1,-1
4,9,11,-1,-1,287.9,24,40,1,3,4,2,3,4,4,6,-1,-1
18,26,11,33,21,300.1,40,47,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,400,20,48,0,2,3,4,4,4,6,-1,-1,-1
16,31,9,22,26,224,50,29,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,252.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
29,7,24,34,28,912.5,9,21,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,209.4,13,42,0,2,4,4,4,6,-1,-1,-1,-1
40,2,38,10,8,892.5,21,30,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,228.4,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
19,9,18,1,40,860,51,47,0,2,3,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,258.9,48,32,1,2,-2,4,4,4,6,-1,-1,-1
43,20,25,16,8,311.1,18,51,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,386,7,49,1,4,4,4,4,6,-1,-1,-1,-1
12,36,43,28,3,885,51,39,0,2,3,3,4,4,6,-1,-1,-1
5,7,9,-1,-1,232.9,34,49,1,2,-2,2,4,4,6,-1,-1,-1
13,19,23,43,49,935,33,24,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,200,34,22,0,2,2,-2,4,4,6,-1,-1,-1
45,47,7,32,22,61.9,27,25,0,2,2,-2,4,4,6,-1,-1,-1
4,7,9,-1,-1,222.65,51,18,1,3,4,3,4,4,6,-1,-1,-1
41,42,29,20,36,71.4,43,30,0,2,4,3,9,-2,6,-1,-1,-1
4,6,8,-1,-1,212.65,-1,-1,1,3,4,2,2,3,7,-1,-1,-1
48,40,9,50,18,293,7,51,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,222,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
23,38,41,3,6,156.8,43,4,0,2,2,3,3,9,6,-1,-1,-1
4,8,10,-1,-1,205.5,35,28,1,3,4,2,2,9,6,-1,-1,-1
43,32,47,15,23,314.5,42,41,0,2,2,3,6,-1,-1,-1,-1,-1
7,7,7,-1,-1,200,36,37,1,2,9,-2,6,-1,-1,-1,-1,-1
23,14,16,5,25,339.9,-1,-1,0,3,3,3,4,4,7,-1,-1,-1
5,7,9,-1,-1,354.5,28,34,1,2,-2,2,4,4,6,-1,-1,-1
43,50,33,9,10,308.4,-1,-1,0,3,2,-2,2,3,4,7,-1,-1
4,7,11,-1,-1,384.5,32,8,1,4,4,3,4,2,4,6,-1,-1
17,33,42,40,0,310.7,35,7,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,200,-1,-1,0,2,3,3,3,7,-1,-1,-1,-1
9,40,31,30,46,505.5,29,6,0,2,4,2,-2,4,6,-1,-1,-1
4,6,9,-1,-1,211,38,43,1,3,4,2,3,4,6,-1,-1,-1
19,45,25,43,4,338.2,16,33,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,202,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
22,3,10,30,4,278.9,49,25,1,3,4,2,4,4,6,-1,-1,-1
4,8,10,-1,-1,413,21,19,0,2,2,3,4,4,6,-1,-1,-1
45,10,47,50,23,323.35,17,42,0,2,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,177,39,32,1,3,4,4,4,6,-1,-1,-1,-1
43,51,27,34,9,537,3,2,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,200,49,31,0,2,2,-2,4,3,6,-1,-1,-1
36,14,15,10,8,343.7,37,34,1,3,4,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,195.5,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
19,35,25,48,23,515,28,20,1,2,3,4,2,3,6,-1,-1,-1
6,11,11,-1,-1,221.5,-1,-1,0,2,2,2,9,-2,7,-1,-1,-1
32,24,40,44,51,311.85,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,187.5,42,47,1,3,4,3,4,4,6,-1,-1,-1
26,40,1,48,17,297.85,-1,-1,1,3,4,4,2,3,7,-1,-1,-1
4,6,8,-1,-1,201,7,49,0,2,4,4,2,-2,6,-1,-1,-1
5,27,47,48,32,259.4,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,430.5,25,31,1,3,4,3,4,4,6,-1,-1,-1
14,40,24,50,34,200,35,28,1,4,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,120,-1,-1,0,3,2,-2,4,4,7,-1,-1,-1
6,41,12,0,24,68.3,47,45,1,2,-2,2,2,2,6,-1,-1,-1
5,7,9,-1,-1,209.5,-1,-1,0,2,3,3,3,3,7,-1,-1,-1
36,34,10,30,31,209.15,35,42,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,110,33,44,0,2,2,-2,2,-2,4,6,-1,-1
26,49,33,50,30,251.4,27,20,0,2,2,3,3,4,6,-1,-1,-1
4,8,10,-1,-1,435.5,37,9,1,3,4,2,2,4,6,-1,-1,-1
6,44,35,28,1,107.8,18,27,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,19,9,1,4,4,4,4,6,-1,-1,-1,-1
4,27,36,15,39,304.9,9,25,0,2,2,3,2,-2,4,6,-1,-1
4,8,11,-1,-1,381.5,40,0,1,3,4,2,4,3,4,6,-1,-1
50,0,22,27,33,218.5,37,7,1,4,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,105.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
30,9,8,15,4,98.6,3,10,0,3,4,4,2,-2,6,-1,-1,-1
4,6,8,-1,-1,210,-1,-1,1,4,4,4,4,3,7,-1,-1,-1
38,11,12,13,41,115.6,14,30,0,3,3,4,4,2,-2,6,-1,-1
5,7,9,-1,-1,200,-1,-1,1,2,-2,4,4,4,3,7,-1,-1
36,3,0,46,21,238.8,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
4,7,9,-1,-1,84.3,5,1,1,3,4,3,4,2,6,-1,-1,-1
14,50,0,35,13,217.8,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,7,9,-1,-1,104.8,9,42,1,3,4,3,4,4,6,-1,-1,-1
28,11,33,39,34,342.9,-1,-1,0,2,3,2,-2,4,4,7,-1,-1
5,8,10,-1,-1,342,30,38,1,2,-2,4,3,4,4,6,-1,-1
23,41,25,31,32,128.1,18,19,0,3,3,3,2,-2,4,6,-1,-1
5,7,10,-1,-1,210,47,27,1,2,-2,2,4,3,4,6,-1,-1
50,23,35,4,26,203.8,22,29,1,4,2,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,118.3,-1,-1,0,3,3,3,4,7,-1,-1,-1,-1
10,45,37,40,6,159.6,30,25,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,48,24,0,2,4,4,4,6,-1,-1,-1,-1
29,18,24,6,50,201,-1,-1,0,2,3,2,-2,2,-2,4,7,-1
5,8,11,-1,-1,199,48,37,1,2,-2,4,3,4,3,4,6,-1
6,40,47,16,50,302.9,0,3,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,381.5,25,41,0,2,3,4,4,4,6,-1,-1,-1
3,40,23,10,20,153.6,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,205.5,7,33,1,4,4,4,4,6,-1,-1,-1,-1
19,6,14,32,9,280.9,33,35,0,2,2,2,9,6,-1,-1,-1,-1
6,10,10,-1,-1,403,45,47,1,2,3,4,9,6,-1,-1,-1,-1
0,51,43,23,37,200,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,242.5,8,48,1,3,4,2,2,6,-1,-1,-1,-1
43,26,35,27,14,224.8,33,41,1,3,4,2,4,3,4,3,6,-1
4,8,11,-1,-1,95.6,39,38,0,2,2,3,2,-2,2,-2,6,-1
11,33,35,25,18,79.05,-1,-1,0,3,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,202,21,34,1,4,4,2,2,6,-1,-1,-1,-1
28,25,0,39,42,158.1,47,15,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200.3,23,45,0,2,4,4,4,6,-1,-1,-1,-1
39,46,37,19,51,272.3,2,50,1,9,-2,6,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,47.1,31,35,0,2,9,6,-1,-1,-1,-1,-1,-1
16,45,36,13,23,157.85,37,40,0,3,4,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200.05,21,9,1,4,4,2,4,6,-1,-1,-1,-1
9,24,13,23,32,224.2,0,39,1,4,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,94.7,42,5,0,3,4,3,4,6,-1,-1,-1,-1
21,43,33,25,6,749,17,41,0,2,3,3,2,-2,6,-1,-1,-1
5,7,10,-1,-1,221,45,44,1,2,-2,2,2,9,6,-1,-1,-1
41,33,51,24,21,214.2,39,6,1,4,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,103.85,44,5,0,3,4,3,4,6,-1,-1,-1,-1
49,2,7,51,4,190.35,14,0,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,200,45,35,0,2,3,3,3,6,-1,-1,-1,-1
26,22,41,38,15,969.5,-1,-1,1,3,4,3,4,4,3,7,-1,-1
4,7,9,-1,-1,128.65,32,43,0,2,2,-2,4,2,-2,6,-1,-1
12,48,35,19,5,169.85,42,46,0,3,3,3,3,2,-2,6,-1,-1
5,7,9,-1,-1,218.5,50,10,1,2,-2,2,2,4,3,6,-1,-1
34,22,11,17,44,75.85,24,48,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,312,-1,-1,0,2,3,4,4,4,7,-1,-1,-1
28,20,11,4,51,499.3,43,31,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,271,40,50,0,2,3,3,3,6,-1,-1,-1,-1
43,38,12,51,34,85.35,5,37,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,302,9,20,1,4,4,4,4,6,-1,-1,-1,-1
6,44,11,16,19,980,40,17,0,2,2,-2,4,2,-2,6,-1,-1
4,7,9,-1,-1,115.65,-1,-1,1,3,4,3,4,4,3,7,-1,-1
1,32,50,10,19,110.15,33,9,0,3,3,2,-2,2,-2,2,-2,6
5,8,11,-1,-1,276,-1,-1,1,2,-2,4,3,4,3,4,3,7
45,38,4,22,13,462.3,36,28,1,3,4,4,2,6,-1,-1,-1,-1
4,6,8,-1,-1,305.5,-1,-1,0,2,4,4,3,7,-1,-1,-1,-1
6,24,45,19,16,48.95,46,38,1,3,2,9,6,-1,-1,-1,-1,-1
4,7,7,-1,-1,200,-1,-1,0,2,2,-2,7,-1,-1,-1,-1,-1
0,14,44,5,13,97.4,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1
4,6,8,-1,-1,200,50,7,1,4,4,2,4,6,-1,-1,-1,-1
12,49,16,8,6,141.95,24,26,0,3,4,3,4,6,-1,-1,-1,-1
4,6,8,-1,-1,243,25,44,1,4,4,2,4,6,-1,-1,-1,-1
6,12,34,33,4,482.3,5,49,0,2,3,3,4,2,-2,6,-1,-1
5,7,9,-1,-1,284.5,-1,-1,1,2,-2,2,4,4,3,7,-1,-1
11,29,10,42,18,92.05,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,204.15,6,47,1,4,4,4,4,6,-1,-1,-1,-1
2,36,39,50,17,140.45,49,41,0,3,3,3,2,-2,2,-2,6,-1
5,7,10,-1,-1,243.5,-1,-1,1,2,-2,2,4,3,4,3,7,-1
38,17,43,46,24,99.55,21,8,0,3,4,4,2,-2,6,-1,-1,-1
4,6,8,-1,-1,200,39,33,1,4,4,4,4,3,6,-1,-1,-1
29,24,50,40,10,185.95,33,16,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,45,7,0,2,4,4,4,6,-1,-1,-1,-1
4,29,3,46,39,172.95,0,50,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,212,33,14,1,4,4,4,4,6,-1,-1,-1,-1
38,39,15,13,48,219,40,4,0,2,3,3,4,2,-2,6,-1,-1
5,7,9,-1,-1,203,50,47,1,2,-2,2,4,4,3,6,-1,-1
49,4,2,23,18,1030.5,6,10,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,45,47,0,2,4,3,4,6,-1,-1,-1,-1
10,48,42,1,15,179.4,40,51,0,2,2,-2,2,-2,2,-2,6,-1
4,7,10,-1,-1,267.5,-1,-1,1,3,4,3,4,3,4,3,7,-1
46,28,44,6,33,168.75,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1
4,6,8,-1,-1,215.5,17,30,1,4,4,2,4,6,-1,-1,-1,-1
24,9,45,47,18,1012.5,0,44,0,2,3,3,2,-2,6,-1,-1,-1
5,7,10,-1,-1,217,21,17,1,2,-2,2,2,9,6,-1,-1,-1
5,12,19,45,9,267.9,46,26,0,2,3,3,4,4,6,-1,-1,-1
5,7,9,-1,-1,200,51,38,1,2,-2,2,4,4,6,-1,-1,-1
25,46,14,18,35,1229,51,43,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,200,2,1,0,2,3,4,4,4,6,-1,-1,-1
22,43,5,41,24,299.4,42,29,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
26,44,36,5,20,575.8,11,10,1,3,4,4,4,6,-1,-1,-1,-1
